eta,K_AR4,K_AR6,K_AR8
0.0,-0.236327,-0.164093,-0.12012
0.01,-0.236947,-0.164458,-0.120312
0.02,-0.237495,-0.164773,-0.120474
0.03,-0.237977,-0.165044,-0.12061
0.04,-0.238396,-0.165274,-0.12072
0.05,-0.238758,-0.165466,-0.120809
0.06,-0.239067,-0.165625,-0.120877
0.07,-0.239328,-0.165753,-0.120928
0.08,-0.239544,-0.165854,-0.120964
0.09,-0.23972,-0.165932,-0.120985
0.1,-0.23986,-0.16599,-0.120996
0.11,-0.239968,-0.16603,-0.120996
0.12,-0.240047,-0.166055,-0.12099
0.13,-0.240102,-0.166069,-0.120977
0.14,-0.240135,-0.166074,-0.12096
0.15,-0.24015,-0.166072,-0.12094
0.16,-0.24015,-0.166066,-0.12092
0.17,-0.240138,-0.166059,-0.1209
0.18,-0.240118,-0.166052,-0.120882
0.19,-0.240091,-0.166047,-0.120868
0.2,-0.240061,-0.166047,-0.120858
0.21,-0.24003,-0.166054,-0.120854
0.22,-0.24,-0.166068,-0.120857
0.23,-0.239974,-0.166093,-0.120868
0.24,-0.239954,-0.166128,-0.120888
0.25,-0.239941,-0.166176,-0.120918
0.26,-0.239939,-0.166238,-0.120959
0.27,-0.239948,-0.166315,-0.121011
0.28,-0.239969,-0.166408,-0.121076
0.29,-0.240006,-0.166518,-0.121153
0.3,-0.240058,-0.166646,-0.121244
0.31,-0.240127,-0.166792,-0.121349
0.32,-0.240214,-0.166957,-0.121468
0.33,-0.24032,-0.167141,-0.121601
0.34,-0.240446,-0.167345,-0.12175
0.35,-0.240592,-0.16757,-0.121914
0.36,-0.240759,-0.167814,-0.122093
0.37,-0.240947,-0.168078,-0.122287
0.38,-0.241157,-0.168362,-0.122496
0.39,-0.241388,-0.168665,-0.12272
0.4,-0.241641,-0.168988,-0.12296
0.41,-0.241916,-0.16933,-0.123214
0.42,-0.242212,-0.169689,-0.123482
0.43,-0.242528,-0.170066,-0.123764
0.44,-0.242865,-0.170459,-0.12406
0.45,-0.243221,-0.170868,-0.124369
0.46,-0.243596,-0.171292,-0.124689
0.47,-0.243989,-0.171728,-0.125022
0.48,-0.244398,-0.172176,-0.125365
0.49,-0.244823,-0.172635,-0.125719
0.5,-0.245262,-0.173103,-0.126081
0.51,-0.245713,-0.173578,-0.126452
0.52,-0.246176,-0.174058,-0.12683
0.53,-0.246647,-0.174542,-0.127213
0.54,-0.247126,-0.175027,-0.127601
0.55,-0.24761,-0.175512,-0.127993
0.56,-0.248098,-0.175994,-0.128387
0.57,-0.248586,-0.17647,-0.128782
0.58,-0.249072,-0.176939,-0.129175
0.59,-0.249555,-0.177397,-0.129567
0.6,-0.25003,-0.177842,-0.129954
0.61,-0.250496,-0.17827,-0.130336
0.62,-0.250949,-0.17868,-0.13071
0.63,-0.251387,-0.179068,-0.131074
0.64,-0.251805,-0.179431,-0.131428
0.65,-0.252201,-0.179764,-0.131768
0.66,-0.252571,-0.180066,-0.132093
0.67,-0.252912,-0.180332,-0.1324
0.68,-0.25322,-0.180559,-0.132687
0.69,-0.25349,-0.180743,-0.132952
0.7,-0.253719,-0.18088,-0.133193
0.71,-0.253903,-0.180966,-0.133407
0.72,-0.254037,-0.180996,-0.133591
0.73,-0.254117,-0.180967,-0.133744
0.74,-0.254138,-0.180874,-0.133862
0.75,-0.254096,-0.180713,-0.133942
0.76,-0.253986,-0.180479,-0.133982
0.77,-0.253802,-0.180168,-0.13398
0.78,-0.253541,-0.179773,-0.133931
0.79,-0.253195,-0.179292,-0.133833
0.8,-0.252761,-0.178717,-0.133683
0.81,-0.252232,-0.178045,-0.133477
0.82,-0.251604,-0.17727,-0.133213
0.83,-0.250869,-0.176386,-0.132887
0.84,-0.250023,-0.175388,-0.132495
0.85,-0.249058,-0.17427,-0.132035
0.86,-0.24797,-0.173027,-0.131503
0.87,-0.246752,-0.171652,-0.130894
0.88,-0.245396,-0.17014,-0.130206
0.89,-0.243898,-0.168484,-0.129435
0.9,-0.242249,-0.166678,-0.128576
0.91,-0.240444,-0.164716,-0.127627
0.92,-0.238474,-0.162591,-0.126582
